food name,calcium (mg),calories (kcal),carbohydrates (g),fats (g),fibre (g),folate (µg),free sugar (g),iron (mg),protein (g),sodium (mg),vitamin c (mg),Category
Pumpkin kheer (Kaddu ki kheer),95.61,86.35,10.44,3.86,0.63,26.95,10.12,0.24,2.76,20.99,8.06,piece_based
Apple kheer (Seb ki kheer),75.67,81.3,11.34,3.18,0.51,16.4,10.71,0.18,2.14,15.86,5.82,piece_based
Caramel custard (baked),90.59,122.7,14.95,5.01,0.0,35.21,14.92,0.53,5.11,44.78,3.02,piece_based
Vanilla ice cream without egg,81.27,228.67,14.21,18.15,0.0,9.67,13.45,0.1,2.69,23.97,2.13,piece_based
Vanilla ice cream with egg,77.42,214.85,11.71,17.02,0.0,21.98,11.69,0.34,4.16,37.72,2.13,piece_based
Strawberry ice cream,77.08,215.61,12.26,16.96,0.0,22.0,11.6,0.34,4.15,37.62,2.13,piece_based
Chocochip ice cream,73.22,241.45,16.75,17.93,0.0,24.1,16.08,0.51,4.23,34.84,2.13,piece_based
Choconut ice cream,67.38,273.96,23.13,18.49,0.51,29.32,21.02,0.89,5.04,29.83,2.17,piece_based
Pear chocholate sunday,56.67,183.49,15.02,13.11,0.07,12.72,14.41,0.24,2.08,16.26,3.34,piece_based
Chocolate sauce,18.8,263.2,43.21,10.39,0.0,0.63,42.06,1.13,1.91,2.8,0.0,piece_based
Coffee ice cream,95.72,150.62,14.09,9.43,0.0,7.18,13.35,0.15,3.15,42.09,2.16,piece_based
Coffee pear alaska,60.61,203.99,19.36,13.22,0.15,13.85,16.88,0.22,2.88,51.11,3.48,piece_based
Crunchy butterscotch,72.26,277.32,19.92,20.99,0.47,18.72,17.73,0.26,3.11,22.24,2.13,piece_based
Peach melba ice cream,60.55,200.85,16.31,14.51,0.06,11.79,13.35,0.11,2.06,17.92,2.99,piece_based
Vanilla ice cream with apples in hot cherry sauce,56.34,196.32,22.75,11.45,0.26,10.77,14.19,0.16,1.73,31.54,4.23,piece_based
Grape and orange whip,17.4,57.39,6.72,2.62,0.97,16.85,5.66,0.53,1.41,14.36,34.86,piece_based
Honey banana cream,43.52,125.49,13.64,6.68,0.7,28.45,10.51,0.23,2.78,15.65,16.68,piece_based
Raspberry bavarian cream,26.4,150.1,17.82,7.88,2.19,20.79,15.3,0.31,3.34,24.59,21.41,piece_based
Fruit delight,71.69,107.09,9.11,7.09,0.09,19.39,9.03,0.15,2.09,17.27,7.74,piece_based
Creamy chocolate mousse,45.25,230.52,9.53,18.16,0.0,33.07,8.99,0.96,6.85,48.64,0.75,piece_based
Cold lemon souffle,55.03,169.87,15.62,9.78,0.0,31.24,13.88,0.53,5.89,46.35,8.65,piece_based
Cold orange souffle,55.45,173.19,16.27,9.82,0.11,33.8,14.42,0.57,5.94,46.53,10.08,piece_based
Cold pineapple souffle,57.13,181.22,16.85,10.39,0.0,30.3,14.99,0.54,6.23,49.38,1.88,piece_based
Cold vanilla souffle,62.47,179.54,16.29,10.32,0.0,30.71,14.49,0.52,6.22,49.09,1.3,piece_based
Cold chocolate souffle,62.91,187.53,17.22,10.86,0.0,32.45,15.31,0.68,6.37,47.77,1.3,piece_based
Stewed fruit (with pear),5.94,74.32,18.22,0.32,2.84,4.33,17.67,0.21,0.25,1.7,2.48,piece_based
Apricot fool,26.37,240.79,33.64,11.35,1.0,11.46,21.29,0.73,1.54,8.28,1.47,piece_based
Pavlova,23.0,200.6,21.84,12.29,0.06,19.18,20.37,0.25,1.84,26.34,23.78,piece_based
Apple crumb pudding,38.49,220.85,35.17,8.87,1.33,7.86,27.69,1.05,1.54,59.36,3.6,piece_based
Steamed cake with chocolate sauce,67.76,301.91,29.06,19.01,0.29,25.81,19.72,0.85,4.49,100.32,1.81,piece_based
Hot lemon souffle,48.77,155.25,16.31,7.93,0.14,20.7,12.07,0.55,5.29,47.75,12.93,piece_based
Gulab jamun with milk powder,26.13,471.15,28.24,40.15,0.05,4.56,27.04,0.13,0.85,67.28,0.41,piece_based
Chum chum,62.58,130.05,28.27,1.92,0.02,10.2,27.84,0.13,1.52,16.65,2.69,piece_based
Dil bahar,62.58,130.05,28.27,1.92,0.02,10.2,27.84,0.13,1.52,16.65,2.69,piece_based
Rasbhari,62.58,130.05,28.27,1.92,0.02,10.2,27.84,0.13,1.52,16.65,2.69,piece_based
Rajbogh,63.23,133.7,28.16,2.28,0.11,12.02,27.66,0.17,1.71,16.57,2.69,piece_based
Rasgulla,57.09,118.64,25.79,1.75,0.01,10.2,25.4,0.12,1.38,15.19,2.69,piece_based
Rasmalai,62.31,135.55,29.17,2.11,0.07,11.29,28.71,0.15,1.61,16.46,2.69,piece_based
Khoa coconut burfi,309.84,411.45,36.55,26.01,4.07,26.6,35.6,2.1,9.98,31.14,0.0,piece_based
Danedar burfi,107.53,102.68,12.33,4.72,0.09,9.75,11.98,0.24,3.24,23.31,3.36,piece_based
Semolina burfi (Suji/Rava burfi),14.86,348.67,47.1,16.86,2.8,3.21,28.67,1.01,3.47,8.33,0.0,piece_based
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),21.76,186.18,17.02,12.66,4.29,11.48,16.11,0.79,1.75,8.95,3.02,piece_based
Khoa ladoo,358.61,396.02,34.43,24.09,3.08,27.31,33.37,2.25,12.21,31.71,0.02,piece_based
Wheat and gram flour ladoo (Atta besan ladoo),35.27,501.7,50.5,29.86,6.01,14.55,18.46,2.39,9.38,27.06,0.0,piece_based
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),18.04,441.84,48.02,25.45,4.27,4.01,19.79,1.81,5.44,3.93,0.03,piece_based
Sesame chickpeas brittle (Til aur channe ki chikki),150.73,282.74,50.49,4.66,5.54,23.64,36.48,4.8,8.5,17.93,0.0,piece_based
Murmura chikki,63.3,253.82,59.59,0.32,0.37,2.16,48.27,3.3,2.12,15.03,0.0,piece_based
Masala onion pakora/pakoda (Pyaaz ke pakode),11.06,551.64,6.48,57.61,1.44,14.65,1.58,0.42,2.05,99.22,1.18,piece_based
Masala green chilli pakora/pakoda (Hari mirch kay pakode),8.58,668.76,5.55,71.01,1.34,12.67,0.27,0.47,2.22,120.9,3.84,piece_based
Chicken pakora/pakoda,9.08,590.09,4.55,60.98,0.96,11.46,0.22,0.51,6.03,103.23,0.14,piece_based
Fish pakora/pakoda,12.65,577.03,4.55,59.52,0.96,11.02,0.22,0.63,5.97,112.24,0.14,piece_based
Paneer cutlet,107.86,672.2,7.62,69.38,0.39,38.34,2.52,0.48,4.59,91.45,1.81,piece_based
Sago cutlet/vadas (Sabudana cutlet/vadas),5.43,558.76,11.23,56.97,0.54,9.09,0.1,0.38,0.56,48.17,13.39,piece_based
Poshtik cutlet,14.94,496.45,7.39,50.94,1.35,43.66,0.32,0.69,2.0,57.11,16.42,piece_based
Egg cutlet (Anda cutlet),16.22,575.02,5.77,60.25,0.58,22.05,0.2,0.56,2.45,79.4,11.07,piece_based
Minced meat cutlet,20.82,531.86,5.61,54.47,0.4,8.86,0.31,0.63,5.1,95.81,1.81,piece_based
Vegetable samosa,10.37,443.11,13.22,42.22,1.52,12.39,0.74,0.6,2.21,107.7,10.06,piece_based
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),10.6,745.5,9.7,76.32,2.27,13.31,0.16,0.96,4.39,65.87,0.0,katori_based
Masala urad dal vada,11.87,703.78,9.93,71.62,2.71,15.89,0.7,1.0,4.32,61.49,2.05,katori_based
Khaman (dhokla),5.31,54.73,5.36,2.8,1.49,19.33,1.36,0.58,1.92,124.1,2.6,piece_based
Instant dhokla,66.58,207.11,24.11,9.37,3.57,22.87,6.86,1.05,7.66,763.98,2.7,piece_based
Tomato ginger chutney (Tamatar adarak ki chutney),23.63,44.66,9.11,0.32,2.14,2.29,6.31,1.08,1.05,209.42,3.65,piece_based
Mint tomato chutney (Pudinay aur tamatar ki chutney),47.59,43.65,8.22,0.36,2.63,4.94,5.48,2.06,1.53,183.98,4.07,piece_based
Coriander chutney (Hare dhaniye ki chutney),39.8,42.86,8.16,0.37,2.47,3.57,5.5,1.63,1.38,186.64,4.24,piece_based
Gooseberry chutney (Amla chutney),46.4,43.02,8.83,0.62,4.58,2.23,0.06,1.22,1.44,215.09,4.84,piece_based
Walnut chutney (Akhrot ki chutney),119.57,370.43,8.91,33.46,3.04,4.63,4.4,1.77,9.44,160.0,1.33,piece_based
Saunth/Sonth chutney with ginger,15.17,84.22,20.62,0.11,0.31,0.51,19.04,0.7,0.28,222.53,0.0,piece_based
Gun powder chutney,68.87,312.34,47.65,2.67,13.95,14.27,1.16,5.14,21.55,195.67,0.02,piece_based
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,73.55,346.36,36.72,15.88,13.16,10.69,10.41,5.44,12.88,321.07,0.15,piece_based
Curd mint dip ,172.79,76.13,9.11,2.44,0.77,7.82,7.83,0.82,4.82,222.77,3.28,piece_based
Curd vegetable dip,129.58,56.21,6.04,1.94,0.63,5.78,5.42,0.37,3.88,132.48,4.53,piece_based
Mayonnaise vegetable dip,91.42,241.27,4.8,23.44,0.41,7.03,4.39,0.28,3.01,119.58,4.58,piece_based
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),76.75,150.68,20.51,6.31,2.1,17.26,1.79,1.15,4.03,222.22,7.12,piece_based
Tomato sandwich (grilled),150.9,189.92,21.29,9.39,1.91,16.85,2.58,0.88,6.26,420.6,8.91,piece_based
French sandwich (toasted),100.73,186.75,14.82,11.51,1.37,29.24,1.82,1.24,6.82,274.68,6.66,piece_based
Peanut butter cucumber sandwich,95.35,243.33,29.76,10.56,3.35,16.53,2.91,1.32,9.04,460.09,0.92,piece_based
Mint and peanut sandwich,114.99,273.59,31.83,13.88,3.67,15.62,2.78,1.7,7.18,453.3,1.75,piece_based
Spicy chutney sandwich,154.53,249.58,34.03,9.58,3.73,23.71,3.96,1.51,8.74,315.4,0.21,piece_based
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),78.45,285.78,22.62,16.77,1.53,12.99,1.77,1.12,12.58,287.39,0.0,piece_based
Rolled sandwich,117.68,293.07,34.69,15.29,2.07,5.61,2.7,1.23,6.45,321.57,0.91,piece_based
Ribbon sandwich,157.85,239.26,24.76,13.37,2.92,10.44,4.66,1.05,6.26,382.11,4.55,piece_based
Checker board sandwich,188.02,348.37,25.94,24.65,2.22,8.52,2.9,1.11,7.37,358.25,0.05,piece_based
Submarine sandwich,72.35,216.92,13.6,15.32,1.24,36.34,2.5,1.23,6.09,254.28,21.43,piece_based
Cheese open sandwich,256.25,274.07,28.42,14.24,1.74,12.93,3.24,1.22,9.84,504.41,0.6,piece_based
Sunset and sunrise open sandwich,114.07,241.31,18.89,15.14,1.39,26.36,1.95,1.28,8.58,381.29,3.86,piece_based
Danish luncheon sandwich,77.13,193.82,17.77,10.1,1.52,25.88,1.13,1.27,9.03,365.63,2.35,piece_based
Chicken and corn open sandwich,65.13,188.16,19.21,8.83,1.67,14.16,2.48,0.8,8.63,226.72,2.12,piece_based
Chocolate sponge cake,33.99,239.86,39.54,5.51,0.52,19.87,25.0,1.81,9.13,61.47,0.0,piece_based
Chocolate swiss roll,42.79,306.08,26.97,19.76,0.29,8.91,18.83,1.08,6.01,44.53,0.19,piece_based
Lemon curd filling,16.39,225.62,26.41,12.58,0.0,3.21,26.13,0.6,3.43,34.9,0.64,piece_based
Jam filling,0.0,184.62,46.15,0.0,0.0,0.0,41.54,0.0,0.0,0.0,0.0,piece_based
Chocolate pastry,50.7,243.37,32.24,10.12,0.32,17.22,22.34,1.44,7.05,46.54,0.25,piece_based
Assorted pastry,47.2,230.74,31.99,8.91,0.43,15.61,19.7,0.94,6.78,49.99,0.25,piece_based
Orange gateau,41.69,178.05,27.01,6.02,0.68,15.12,18.33,0.89,4.78,80.41,10.49,piece_based
Black forest gateau,46.79,217.82,30.57,8.58,0.28,10.98,21.97,1.09,5.94,79.37,143.5,piece_based
Lemon cake,32.77,373.85,43.1,20.63,0.62,9.0,25.84,0.91,5.29,151.29,2.44,piece_based
Dundee cake,58.11,396.62,41.4,22.7,1.81,9.22,21.3,1.57,7.78,182.74,0.07,piece_based
Victorian sandwich cake,36.25,373.09,44.74,19.83,0.59,8.66,28.18,0.86,5.18,145.28,0.08,piece_based
Chocolate eggless cake,185.38,312.01,43.45,13.19,0.32,14.7,34.2,0.95,6.66,196.61,2.67,piece_based
Orange eggless cake,205.84,355.62,52.65,13.82,0.56,13.72,37.87,0.52,7.16,226.28,3.47,piece_based
Chocolate glace icing,26.75,436.29,62.43,20.8,0.0,1.52,59.88,2.04,3.22,8.66,0.0,piece_based
Butter icing,12.48,500.72,71.64,25.37,0.0,0.0,71.64,0.14,0.19,5.98,0.0,piece_based
Chocolate butter icing,31.87,469.59,61.72,24.77,0.0,1.22,59.82,1.85,3.21,4.99,0.0,piece_based
Almond biscuit (Badam ke biscuit),44.05,407.74,52.14,19.7,1.5,2.28,22.19,1.11,6.25,151.76,0.03,piece_based
Orange biscuit,20.35,354.78,62.11,11.01,0.75,5.1,42.63,0.77,3.63,259.14,1.36,piece_based
Gingerman biscuit,41.35,357.43,55.24,12.73,2.0,4.91,21.64,1.59,6.26,918.57,3.65,piece_based
Coffee drops,57.09,443.07,43.06,27.16,1.88,2.72,18.27,1.48,7.57,88.17,0.03,piece_based
Christmas biscuit,29.07,406.07,60.97,15.88,2.17,2.42,26.01,1.2,5.67,127.36,0.0,piece_based
Christmas wreath biscuit,29.71,386.05,58.07,15.01,2.28,2.53,24.89,1.21,5.43,120.2,2.28,piece_based
Christmas bell biscuit,32.0,404.85,60.79,15.84,2.33,2.42,25.94,1.22,5.66,127.01,0.0,piece_based
Christmas star biscuit,22.75,392.03,74.54,10.04,1.47,2.69,53.05,0.96,3.54,76.09,0.01,piece_based
Christmas tree biscuit,35.04,385.63,58.41,15.0,2.65,2.58,24.77,1.18,5.43,120.45,1.61,piece_based
Chocolate cream shells,28.53,427.17,59.26,19.34,0.9,2.42,34.72,1.08,5.1,126.84,0.0,piece_based
Jelly biscuit,36.46,404.61,55.24,19.33,2.02,1.69,29.76,1.19,4.23,110.57,0.03,piece_based
Cherry and walnut cookies,46.27,422.6,59.35,18.75,1.3,2.49,30.37,1.31,5.63,114.62,0.0,piece_based
Cheese straws,160.64,382.0,30.61,24.28,1.29,2.35,1.79,1.29,9.83,587.42,0.0,piece_based
Butterfly biscuit,202.49,341.45,25.33,22.11,1.02,2.63,2.44,1.09,9.98,572.05,0.03,piece_based
Flan pastry,21.85,445.8,47.84,25.04,1.58,7.11,6.22,1.15,6.72,193.23,0.0,piece_based
Fruit flan,19.28,261.35,34.71,12.48,0.71,33.99,9.52,0.61,3.3,110.04,3.3,piece_based
Orange cream flan,27.9,280.28,36.16,13.59,0.63,76.78,25.27,0.93,4.73,82.41,43.79,piece_based
Fruit puree tart,19.64,286.5,30.42,16.83,1.31,6.05,9.79,0.63,3.35,49.65,2.6,piece_based
Apple banana pie,21.23,243.99,32.12,11.39,1.89,31.98,12.96,0.79,3.13,384.43,8.88,piece_based
Lemon chiffon pie,34.43,259.31,27.63,14.52,0.66,51.7,11.39,0.61,4.88,94.95,7.18,piece_based
Orange chiffon pie,30.34,207.57,23.14,11.16,0.7,91.24,10.46,0.62,3.89,73.23,84.88,piece_based
Cream buns,45.27,215.74,14.16,15.81,0.31,9.28,5.95,0.5,4.45,45.49,0.33,piece_based
Savoury puffs,68.83,190.79,10.8,15.24,0.33,15.04,4.51,1.19,9.51,2274.24,1.49,piece_based
Choux swans,44.67,216.34,14.92,15.6,0.35,18.67,6.13,0.51,4.35,145.08,4.27,piece_based
Potato aigrettes,9.2,530.03,8.01,54.24,0.45,3.35,0.73,0.45,2.35,112.45,1.16,piece_based
Cream horns,30.93,408.23,23.12,33.55,0.6,8.8,7.12,0.44,3.42,57.11,0.5,piece_based
Savoury cheese horns,121.83,295.15,21.38,20.71,0.73,8.51,2.74,0.63,5.66,212.28,2.31,piece_based
Paneer patties,129.9,338.58,22.79,23.96,1.18,31.26,4.04,0.79,7.6,158.44,3.3,piece_based
Vegetable patties ,18.96,261.92,20.98,17.74,2.62,22.85,1.49,0.87,4.01,139.52,13.92,piece_based
Pearl millet infant food (Bajra shishu aahaar),118.52,362.44,62.1,6.62,7.84,24.14,26.06,5.67,11.98,12.67,0.0,piece_based
Sajina,54.4,345.26,66.87,3.03,7.62,20.4,25.89,5.39,10.81,11.7,0.0,piece_based
Cereal mix ,21.4,120.81,21.84,2.02,2.03,23.98,10.68,1.18,3.32,9.29,0.62,piece_based
Pulse mix,14.93,83.29,16.0,0.54,2.25,24.23,6.59,1.29,3.16,3.88,0.0,piece_based
Shishu ahar,13.78,93.37,17.42,1.43,1.02,17.34,6.61,1.02,2.61,2.68,0.0,piece_based
Cereal pulse mix with amylase rice flour,12.61,151.57,27.8,2.74,3.47,18.71,8.84,1.19,4.27,1.03,0.0,bowl_based
Banana groundnut paste/puree,74.93,213.19,36.15,5.45,1.7,20.9,31.67,1.9,4.27,16.85,3.02,piece_based
Rice dal porridge (Chawal dal ki khichdi/khichri),50.46,383.33,65.04,8.33,4.51,11.87,26.54,2.76,10.8,12.33,0.0,bowl_based
Lentils and semolina porridge (Dal suji porridge/daliya),44.74,117.29,23.19,1.06,1.44,21.48,13.84,1.22,3.26,9.64,0.8,katori_based
Spinach khichri (Palak khichri/khichdi),10.43,102.18,17.35,1.91,1.56,28.15,0.21,0.65,3.43,69.59,3.03,piece_based
Vegetable mix,90.06,174.21,36.02,0.94,1.93,36.84,27.36,2.27,4.7,34.94,8.48,piece_based
Lentils and wheat porridge (Dal wheat porridge/daliya ),26.28,52.54,8.36,0.94,1.28,11.32,0.92,0.52,2.71,62.79,0.6,katori_based
Maize porridge,17.02,89.57,15.64,1.89,1.68,23.98,7.69,1.11,2.14,5.59,3.03,piece_based
Spinach peanut burfi (Palak aur mungfali ki burfi),40.95,105.37,13.59,4.39,2.07,164.72,11.5,1.61,3.36,19.52,30.28,piece_based
Split bengal gram burfi/fudge (Channa dal burfi),16.44,287.36,54.63,7.09,2.06,24.28,43.38,0.62,4.65,2.53,0.6,katori_based
Chickpea flour cookies (Sweet besan rounds/cookies),54.95,207.01,39.64,3.42,2.56,10.0,30.66,2.16,4.29,22.29,0.39,piece_based
Pearl millet mathri (Bajra mathri),4.63,785.08,7.42,83.12,1.36,16.09,0.16,0.72,1.82,33.17,0.0,piece_based
Sesame biscuit (Til ke biscuit),298.06,424.03,53.65,19.34,6.83,5.46,29.73,5.73,8.27,182.26,0.0,piece_based
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),20.5,657.57,8.68,67.19,2.65,38.78,0.35,1.38,4.05,63.87,3.95,katori_based
Poshtik namak paras,60.74,613.39,19.52,56.58,4.55,6.09,0.87,2.03,6.49,44.01,0.38,piece_based
Soya chikki,81.25,423.7,62.89,15.51,3.55,36.21,45.47,4.47,7.18,17.24,0.0,piece_based
Besan bathua chilla/cheela,64.75,373.82,40.65,18.57,7.79,24.35,1.45,2.68,11.48,166.36,2.05,piece_based
Wheat flour and nuts ladoos (Atta nuts ladoos),127.29,391.9,44.31,19.19,7.3,13.1,15.94,4.01,9.46,8.07,0.0,piece_based
Gram flour and semolina dhokla (Besan suji dhokla),66.66,198.91,25.92,7.1,4.59,76.09,2.58,1.6,8.52,196.59,6.55,piece_based
Atta dal burfi ,17.07,298.8,40.64,12.47,4.08,9.07,21.08,1.56,6.66,3.56,0.0,katori_based
Soya roti,53.42,283.96,40.03,9.23,8.71,35.91,1.58,3.85,9.18,155.93,4.04,piece_based
Poshtik khichdi/khichri,30.41,93.37,15.64,1.88,2.0,65.43,0.26,1.0,3.04,41.67,25.77,piece_based
Namkeen daliya,35.98,295.11,49.32,7.99,8.57,6.32,0.82,2.99,8.29,149.63,6.88,katori_based
Sprouts upma ,36.78,316.25,44.96,10.44,7.16,26.63,1.67,2.76,9.5,147.82,0.48,piece_based
Semolina idli (Suji/Rava idli),100.85,206.39,33.67,3.47,5.85,17.37,3.42,2.34,9.34,185.02,1.61,piece_based
Poshtik chilla/cheela,18.18,159.53,27.47,3.04,4.91,11.79,1.22,2.1,4.85,97.18,0.58,piece_based
Stuffed bittergourd (dry) (Bharwa karela),16.72,217.65,2.49,22.38,3.0,48.09,0.07,1.29,1.29,519.29,43.5,piece_based
Cauliflower potato canjee,6.78,16.79,2.63,0.39,0.69,14.43,0.13,0.28,0.57,35.58,15.57,piece_based
Creamed spinach,122.3,96.91,4.44,6.39,1.33,320.46,1.59,1.89,5.18,156.02,62.17,piece_based
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),69.36,68.35,9.18,2.8,0.23,46.37,9.11,0.15,1.93,16.64,16.96,piece_based
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),68.78,68.49,9.33,2.75,0.42,20.84,9.2,0.12,1.93,16.65,18.32,piece_based
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),69.8,67.82,9.15,2.75,0.16,21.34,9.0,0.19,1.95,16.65,20.86,piece_based
Woodapple juice (Bel ka sharbat),11.85,34.18,6.51,0.7,1.03,5.65,5.75,0.12,0.63,127.45,18.36,piece_based
Sattu drink,1.59,23.38,5.16,0.14,0.4,25.48,3.96,0.17,0.56,12.65,0.0,piece_based
Apple and honey sorbet (Seb aur shehad ka sharbat),9.11,121.3,30.74,0.29,1.13,2.68,29.18,0.18,0.15,1.97,5.08,piece_based
Thandai,112.31,101.18,9.13,5.89,0.8,18.19,8.21,0.6,3.59,22.69,3.66,piece_based
Cucumber sharbat (Kheere ka sharbat),6.49,27.28,6.64,0.06,0.78,25.26,5.46,0.18,0.26,2.57,9.16,piece_based
Apple oats chia seed smoothie,88.89,85.64,13.07,2.48,1.44,71.4,5.76,0.5,3.49,32.02,5.39,piece_based
Nannari sharbat,2.67,88.79,23.62,0.01,0.0,2.29,23.58,0.05,0.01,1.16,9.92,piece_based
Semolina milk drink (Thari kanji),8.26,44.16,6.93,1.36,0.72,11.86,3.88,0.36,0.98,11.95,6.58,piece_based
Saffron milk (Kesariya doodh),110.88,102.18,12.64,4.57,0.14,17.96,12.5,0.21,3.17,23.69,4.84,piece_based
Black rice kheer (Chak-hao kheer),94.89,147.94,22.93,4.91,0.76,11.25,12.57,0.46,4.37,25.77,3.22,bowl_based
Coconut kheer (Nariyal ki kheer),89.52,162.61,14.42,10.55,1.53,49.34,13.73,0.53,3.4,45.97,12.21,piece_based
Apple sago payasam (Seb aur sabudana ki kheer),102.11,136.5,14.4,7.66,0.38,21.45,10.63,0.31,3.13,39.45,5.88,piece_based
Kesari bath,7.7,244.57,31.38,12.59,1.65,8.55,20.16,0.69,2.4,1.7,0.0,piece_based
Putharekulu,6.11,318.3,59.61,7.55,1.75,2.44,23.86,0.38,3.66,2.67,0.0,piece_based
Mango malpua,10.64,334.64,12.84,30.67,2.08,110.67,4.96,0.7,1.65,1.89,38.05,piece_based
Mango vanilla custard,84.86,147.63,18.41,7.04,0.99,49.19,14.62,0.58,3.43,30.12,16.05,piece_based
Kiwi granola pudding,62.2,280.99,32.33,15.36,3.71,207.15,15.08,1.45,5.6,59.21,65.34,piece_based
Oats burfi,128.58,425.19,62.47,17.27,4.96,17.81,32.93,2.46,8.89,8.15,0.06,piece_based
Lotus seed halwa (Kamal gattay ka halwa),82.84,370.55,39.56,20.69,0.42,179.08,9.8,1.8,7.79,3.06,0.06,piece_based
Amaranth ladoo (Rajgira ladoo),144.58,454.15,51.33,22.7,5.11,9.52,19.92,6.47,10.12,7.51,0.03,piece_based
Chhena poda,295.29,344.57,33.64,17.94,1.4,42.67,30.65,1.41,13.68,13.0,0.09,piece_based
Sweet couscous dessert,30.94,196.2,29.69,7.69,2.18,29.16,15.89,0.84,3.81,4.22,34.1,piece_based
Sweetened yogurt (Shrikhand),183.02,107.18,16.02,2.89,0.08,50.44,15.81,0.17,5.27,73.61,2.79,piece_based
Thickened sweetened milk (Rabri),111.87,102.79,10.55,5.35,0.19,16.31,10.09,0.29,3.52,23.92,4.09,piece_based
Gram flour halwa (Besan halwa),77.42,276.79,25.78,17.3,1.82,51.61,15.83,0.67,5.88,15.4,1.66,piece_based
Prawn sandwich,75.53,169.65,11.89,9.27,1.55,50.99,1.21,1.11,10.36,213.38,12.57,piece_based
Watercress sandwich,98.16,229.42,28.03,11.47,2.26,12.14,1.81,0.99,5.17,407.44,2.23,piece_based
Fish sandwich ,47.28,150.2,10.09,10.37,1.23,39.29,1.04,0.69,4.72,161.88,3.89,piece_based
Kidney bean sandwich with cottage cheese,166.63,176.64,18.86,6.84,3.66,213.8,3.69,1.64,9.85,97.97,5.33,piece_based
Finger millet biscuit (Ragi biscuit),207.04,458.56,52.69,25.79,5.97,13.87,16.9,2.54,4.03,98.24,0.0,piece_based
Buttermilk biscuit,67.16,322.54,34.93,17.5,1.18,11.23,3.44,0.77,5.76,323.74,0.0,piece_based
Lemon cookies,72.04,394.48,42.19,23.02,0.78,10.76,23.47,0.69,5.63,84.71,1.5,piece_based
Sweet potato biscuit (Shakarkand ke biscuit),56.34,296.4,38.13,13.31,2.27,17.7,2.53,0.81,5.14,339.58,7.95,piece_based
Raspberry shortbread cookies,13.81,441.12,61.25,21.25,0.75,1.66,40.86,0.6,3.0,6.06,0.01,piece_based
Pumpkin cookies ,19.36,218.4,44.69,3.93,1.06,7.8,31.62,0.52,2.51,51.49,1.26,piece_based
Greenpea cookies,48.45,159.42,23.07,4.24,5.32,28.24,14.45,1.47,6.53,229.9,16.8,piece_based
Sunflower cookies,70.45,520.62,40.06,36.28,3.95,51.65,24.28,2.21,9.49,181.68,0.0,piece_based
Cardamom cookies (Elaichi cookies),25.21,400.49,53.99,19.12,2.79,34.95,38.99,1.41,5.1,98.45,0.0,piece_based
Hazelnut cookies,47.43,493.32,39.44,34.97,2.45,19.45,22.01,1.29,6.25,81.06,0.0,piece_based
Milk cookies,251.59,459.43,48.43,24.96,0.99,19.54,22.06,0.75,10.49,156.53,2.03,piece_based
Cranberry cookies,36.16,272.48,36.39,12.66,1.13,17.21,19.96,0.71,3.92,58.25,5.52,piece_based
Olive biscuit,10.76,438.29,55.01,23.75,0.82,2.28,32.27,1.37,3.2,120.1,0.0,piece_based
Tutti fruitti biscuit,23.81,420.78,53.12,17.9,5.43,15.19,15.75,1.96,5.21,93.11,0.0,piece_based
Peach blueberry preserves,9.03,177.38,45.76,0.2,1.14,16.68,45.33,0.33,0.53,2.81,16.56,piece_based
Pear preserves (Naashpati ka murabba),6.57,101.24,25.67,0.19,3.06,21.93,25.19,0.23,0.25,2.1,15.65,piece_based
Starfruit preserves ,5.24,128.93,33.62,0.12,0.78,4.32,33.47,0.2,0.24,2.06,17.65,piece_based
Gooseberry pickle (Amla ka achaar),31.17,278.58,7.61,27.61,3.7,2.09,0.36,1.04,1.55,86.38,4.85,piece_based
Lotus stem pickle (Kamal kakdi ka achar),137.73,102.69,20.07,1.6,8.58,1.91,2.53,20.57,1.44,181.83,12.35,piece_based
Date pickle (Khajoor ka achaar),41.49,182.29,34.66,4.21,5.2,15.77,30.47,1.96,1.68,138.86,3.46,piece_based
Garlic pickle (Lahasun ka achar),54.66,413.62,9.75,39.88,5.13,15.98,2.32,1.82,3.72,269.12,7.33,piece_based
Fermented bamboo shoot pickle (Mesu pickle),16.62,59.83,1.73,5.59,2.24,23.14,0.29,0.69,1.58,161.31,19.87,piece_based
Sweet peach pickle (Aadoo ka achaar),11.99,144.64,37.01,0.2,1.32,8.5,36.46,0.33,0.46,33.04,7.36,piece_based
Pickled mustard greens ,81.44,13.12,1.05,0.22,1.7,550.52,0.02,1.22,1.51,242.36,301.6,piece_based
Small onion pickle ,31.95,16.86,2.76,0.64,1.09,16.9,2.99,1.2,1.65,249.48,19.37,piece_based
